stop_id,stop_name,stop_lat,stop_lon,n_arrivals,n_delay_events,avg_delay_min,share_over_5min,share_on_time_or_early,impact_score,norm_impact,norm_arrivals,hotspot_score
de:11000:900004181::3,Hertzallee (Berlin),52.509228,13.332082,5934,14.0,2.0714285714285716,0.21428571428571427,0.5714285714285714,172086.0,1.0,1.0,1.0
de:11000:900029202::1,"Berlin, Moritzstr.",52.539015,13.200849,3638,9.0,4.111111111111111,0.2222222222222222,0.4444444444444444,134606.0,0.7822019222946667,0.613077182339063,0.7314645003079856
de:11000:900029302::4,S+U Rathaus Spandau (Berlin),52.535942,13.199838,3473,10.0,3.7,0.1,0.3,128501.0,0.7467254744720663,0.5852713178294574,0.6982892274792836
de:11000:900023302::4,U Adenauerplatz (Berlin),52.499997,13.308223,2561,11.0,4.545454545454546,0.18181818181818182,0.18181818181818182,128050.00000000001,0.7441046918401265,0.4315807212672733,0.6503475006682705
de:11000:900044101:1:50,S Hohenzollerndamm (Berlin),52.488671,13.300271,3123,19.0,2.0,0.05263157894736842,0.3157894736842105,118674.0,0.6896203061260068,0.5262891809908999,0.6406209685854747
de:11000:900024203:1:51,S Savignyplatz (Berlin),52.505117,13.319066,4257,18.0,1.3333333333333333,0.1111111111111111,0.5555555555555556,102168.0,0.5937031484257871,0.717391304347826,0.6308095952023988
de:11000:900023201::5,S+U Zoologischer Garten Bhf (Berlin),52.506741,13.333567,5672,20.0,0.7,0.05,0.5,79408.0,0.461443696756273,0.9558476575665655,0.6097648849993607
de:11000:900023203::9,U Kurfürstendamm (Berlin),52.503694,13.330197,2743,9.0,4.444444444444445,0.2222222222222222,0.3333333333333333,109720.0,0.6375881826528597,0.4622514324233232,0.5849871575839987
de:11000:900029201::1,"Berlin, Wröhmännerpark",52.54203,13.205646,2631,12.0,3.0833333333333335,0.16666666666666666,0.25,97347.0,0.5656880861894634,0.44337714863498484,0.5289948049231199
de:11000:900031101::3,"Berlin, Brunsbütteler Damm/Ruhlebener Str.",52.53218,13.197531,2506,11.0,3.5454545454545454,0.18181818181818182,0.45454545454545453,97733.99999999999,0.5679369617516822,0.42231209976407147,0.524249503155399
de:11000:900056101::6,U Wittenbergplatz (Berlin),52.50233,13.341789,2411,11.0,3.5454545454545454,0.18181818181818182,0.2727272727272727,94028.99999999999,0.5464070290436176,0.4063026626221773,0.5043757191171855
de:11000:900096101::3,S+U Wittenau (Berlin),52.595793,13.33614,3114,18.0,1.4444444444444444,0.05555555555555555,0.3333333333333333,80964.0,0.4704856873888637,0.5247724974721941,0.4867717304138628
de:11000:900004181::2,Hertzallee (Berlin),52.508833,13.333586,5191,20.0,0.5,0.0,0.65,51910.0,0.3016514998314796,0.8747893495112908,0.4735928547354229
de:11000:900079221:1:50,S+U Hermannstr. (Berlin),52.46769,13.431204,2087,11.0,3.8181818181818183,0.18181818181818182,0.36363636363636365,87654.0,0.5093615982706321,0.3517020559487698,0.4620637355740734
