stop_id,stop_name,stop_lat,stop_lon,n_arrivals
de:11000:900004181::3,Hertzallee (Berlin),52.509228,13.332082,5934
de:11000:900023201::5,S+U Zoologischer Garten Bhf (Berlin),52.506741,13.333567,5672
de:11000:900004181::2,Hertzallee (Berlin),52.508833,13.333586,5191
de:11000:900024203:1:51,S Savignyplatz (Berlin),52.505117,13.319066,4257
de:11000:900029202::1,"Berlin, Moritzstr.",52.539015,13.200849,3638
de:11000:900029302::4,S+U Rathaus Spandau (Berlin),52.535942,13.199838,3473
de:11000:900029202::2,"Berlin, Moritzstr.",52.538297,13.200741,3419
de:11000:900067221::3,S Lankwitz (Berlin),52.438378,13.344253,3337
de:11000:900096101::4,S+U Wittenau (Berlin),52.595542,13.335021,3311
de:11000:900100002::1,S Hackescher Markt (Berlin),52.522545,13.403145,3304
de:11000:900086102::5,U Kurt-Schumacher-Platz (Berlin),52.563346,13.326896,3262
de:11000:900086102::3,U Kurt-Schumacher-Platz (Berlin),52.563324,13.327342,3253
de:11000:900040101:1:50,S Halensee (Berlin),52.496038,13.290596,3176
de:11000:900044101:1:50,S Hohenzollerndamm (Berlin),52.488671,13.300271,3123
de:11000:900096101::3,S+U Wittenau (Berlin),52.595793,13.33614,3114
de:11000:900100503::2,"Berlin, Invalidenpark",52.528659,13.376728,2935
de:11000:900096305::2,Wilhelmsruher Damm/Treuenbrietzener Str. (Berlin),52.596973,13.359507,2810
de:11000:900130002::3,S+U Pankow (Berlin),52.566867,13.412332,2756
de:11000:900067221::2,S Lankwitz (Berlin),52.438752,13.343763,2750
de:11000:900023304::4,Olivaer Platz (Berlin),52.500651,13.312006,2745
de:11000:900023203::9,U Kurfürstendamm (Berlin),52.503694,13.330197,2743
de:11000:900023301::4,U Uhlandstr. (Berlin),52.502809,13.326126,2743
de:11000:900029201::1,"Berlin, Wröhmännerpark",52.54203,13.205646,2631
de:11000:900100005::1,U Alexanderplatz (Berlin) [Tram],52.522141,13.414628,2591
de:11000:900100026::1,S+U Alexanderplatz Bhf/Gontardstr. (Berlin),52.521046,13.411326,2591
de:11000:900100515::1,Spandauer Str./Marienkirche (Berlin),52.520429,13.405559,2591
de:11000:900194006::10,S Schöneweide/Sterndamm (Berlin),52.454245,13.509443,2572
de:11000:900151006::7,"Berlin, Prerower Platz",52.562979,13.503903,2565
de:11000:900023301::3,U Uhlandstr. (Berlin),52.502573,13.326074,2561
de:11000:900023302::4,U Adenauerplatz (Berlin),52.499997,13.308223,2561
de:11000:900023304::2,Olivaer Platz (Berlin),52.500438,13.312637,2561
de:11000:900067201::2,Lankwitz Kirche (Berlin),52.435963,13.34652,2543
de:11000:900152001::2,S Hohenschönhausen Bhf (Berlin),52.566442,13.513503,2526
de:11000:900031101::3,"Berlin, Brunsbütteler Damm/Ruhlebener Str.",52.53218,13.197531,2506
de:11000:900152001::1,S Hohenschönhausen Bhf (Berlin),52.5664,13.513545,2489
de:11000:900029371::2,S+U Rathaus Spandau (Berlin),52.534898,13.198419,2469
de:11000:900067251::2,Stadtbad Lankwitz (Berlin),52.441894,13.341816,2453
de:11000:900100002::2,S Hackescher Markt (Berlin),52.521784,13.402562,2432
de:11000:900100005::2,U Alexanderplatz (Berlin) [Tram],52.522121,13.414676,2432
de:11000:900100026::2,S+U Alexanderplatz Bhf/Gontardstr. (Berlin),52.521025,13.411285,2432
de:11000:900100515::2,Spandauer Str./Marienkirche (Berlin),52.520517,13.404127,2432
de:11000:900031101::4,"Berlin, Brunsbütteler Damm/Ruhlebener Str.",52.53244,13.19826,2418
de:11000:900023204::2,Europa-Center (Berlin),52.50412,13.3372,2411
de:11000:900056101::6,U Wittenbergplatz (Berlin),52.50233,13.341789,2411
de:11000:900083201::8,U Rudow (Berlin),52.416041,13.49597,2379
de:11000:900056101::7,U Wittenbergplatz (Berlin),52.501999,13.341731,2377
de:11000:900190100::1,Elsenstr./S Treptower Park (Berlin),52.492356,13.458267,2373
de:11000:900023351::1,"Berlin, Bleibtreustr.",52.501827,13.320026,2353
de:11000:900120003:5:59,S Ostkreuz Bhf (Berlin),52.503314,13.469607,2348
de:11000:900180008::1,Bahnhofstr./Lindenstr. (Berlin),52.450496,13.572704,2340
de:11000:900078201:1:50,S+U Neukölln (Berlin),52.469492,13.443156,2317
de:11000:900110004::1,S Landsberger Allee (Berlin),52.528681,13.45656,2311
de:11000:900096308::1,Finsterwalder Str./Dannenwalder Weg (Berlin),52.595907,13.338498,2294
de:11000:900029201::2,"Berlin, Wröhmännerpark",52.542232,13.206184,2285
de:11000:900120003:2:53,S Ostkreuz Bhf (Berlin),52.503125,13.468633,2276
de:11000:900023201:3:54,S+U Zoologischer Garten Bhf (Berlin),52.507031,13.331849,2275
de:11000:900120004:1:50,S+U Warschauer Str. (Berlin),52.506121,13.450664,2270
de:11000:900120016::3,Landsberger Allee/Petersburger Str. (Berlin),52.525976,13.446294,2267
de:11000:900140005::5,"Berlin, Albertinenstr.",52.549769,13.45768,2266
de:11000:900140011::8,Antonplatz (Berlin),52.548527,13.451975,2266
de:11000:900003103:1:50,S Tiergarten (Berlin),52.514419,13.336536,2260
de:11000:900003102:1:50,S Bellevue (Berlin),52.519946,13.34809,2254
